State,Action,Q-Value
"(8, 2)",left,-0.401635916749493
"(8, 2)",right,-0.3815878137606698
"(8, 3)",up,-0.3553520013454404
"(8, 3)",down,-0.3482089037529044
"(8, 3)",left,-0.34828331973834337
"(8, 3)",right,-0.28513910782794677
"(8, 4)",down,-0.2931441277791062
"(8, 4)",left,-0.29393164544999956
"(8, 4)",right,-0.16623240760267216
"(8, 5)",up,-0.32009477267614483
"(8, 5)",down,-0.23878831683524115
"(8, 5)",left,-0.23859728368041783
"(8, 5)",right,-0.035093758992212405
"(8, 6)",up,-0.27221864914762867
"(8, 6)",down,-0.18614160561676255
"(8, 6)",left,-0.1858330216377451
"(8, 6)",right,0.10110597913270919
"(8, 7)",up,0.23987548065884207
"(8, 7)",down,-0.13845540586287428
"(8, 7)",left,-0.13881200787916972
"(8, 7)",right,-0.13844077975776595
"(8, 8)",up,-0.14071064152000926
"(8, 8)",down,-0.14069649656028368
"(8, 8)",left,-0.13971287167588062
"(8, 8)",right,-0.14083773135210256
"(8, 9)",up,-0.14802469062036944
"(8, 9)",down,-0.14770815635698462
"(8, 9)",left,-0.14730367850423173
"(9, 0)",up,-0.4382938066877327
"(9, 0)",right,-0.43810757103029097
"(9, 1)",up,-0.4243690088243883
"(9, 1)",left,-0.4243400146632704
"(9, 1)",right,-0.42443200961146643
"(9, 2)",up,-0.3953852750622807
"(9, 2)",left,-0.39572558605283437
"(9, 2)",right,-0.3950304708165706
"(9, 3)",up,-0.3547092231140698
"(9, 3)",left,-0.3548695739594582
"(9, 3)",right,-0.3546902632967082
"(9, 4)",up,-0.3056718324243451
"(9, 4)",left,-0.30781374337779444
"(9, 4)",right,-0.3073318488533143
"(9, 5)",up,-0.2523034716129416
"(9, 5)",left,-0.2570277795847529
"(9, 5)",right,-0.2563322748362341
"(9, 6)",up,-0.19925592967692926
"(9, 6)",left,-0.20707595348656538
"(9, 6)",right,-0.20609831795214792
"(9, 7)",up,-0.15428362375153365
"(9, 7)",left,-0.16466147554897323
"(9, 7)",right,-0.16391434439380947
"(9, 8)",up,-0.15177879370014674
"(9, 8)",left,-0.1520882063773796
"(9, 8)",right,-0.1515572894026577
"(9, 9)",up,-0.14986143406802332
"(9, 9)",left,-0.1492540734603796
