State,Action,Q-Value
"(2, 0)",down,-0.5883895750142906
"(2, 5)",up,-0.3760240361499879
"(2, 5)",down,-0.18370214320770245
"(2, 9)",up,-0.30705184016038023
"(2, 9)",down,-0.3041408951661892
"(3, 0)",up,-0.5585495508738553
"(3, 0)",down,-0.5582854306044097
"(3, 0)",right,-0.5583934551018686
"(3, 1)",down,-0.5375120044212577
"(3, 1)",left,-0.5377654176950091
"(3, 1)",right,-0.537227936020989
"(3, 2)",down,-0.5259061861652622
"(3, 2)",left,-0.5256676049246038
"(3, 2)",right,-0.8429497909152008
"(3, 3)",down,-0.25399407728711054
"(3, 3)",left,-0.2563540703355198
"(3, 5)",up,-0.3102808518733004
"(3, 5)",down,-0.5167694712281397
"(3, 5)",right,-0.09193559399974623
"(3, 6)",down,-0.8205039835659435
"(3, 6)",left,-0.22932999127713927
"(3, 6)",right,0.009491787333430262
"(3, 7)",down,0.12187774874686605
"(3, 7)",left,-0.16006643649690383
"(3, 7)",right,-0.19382217385278874
"(3, 8)",down,-0.19252115936833836
"(3, 8)",left,-0.060853788103078794
"(3, 8)",right,-0.21135525626464283
"(3, 9)",up,-0.24956631784844005
"(3, 9)",down,-0.24518963947731262
"(3, 9)",left,-0.23790231959521382
"(4, 0)",up,-0.5333231069282884
"(4, 0)",down,-0.5330267988305885
"(4, 0)",right,-0.5331621773793495
"(4, 1)",up,-0.5229452961781593
"(4, 1)",down,-0.5227807637478293
"(4, 1)",left,-0.5233204703512001
"(4, 1)",right,-0.5228626562650744
"(4, 2)",up,-0.5141061786301648
"(4, 2)",down,-0.5142069831869759
"(4, 2)",left,-0.5141292283420207
"(4, 2)",right,-0.5141836017612235
"(4, 3)",up,-0.7175927938407127
"(4, 3)",down,-0.5069638297193623
"(4, 3)",left,-0.506920604974725
"(4, 5)",up,-0.022920279215673096
"(4, 5)",down,0.6904219833467943
"(4, 5)",right,-0.14682221040754898
"(4, 6)",up,-0.07589418232785834
"(4, 6)",down,-0.13336470473712644
"(4, 6)",left,-0.0988611347578892
"(4, 6)",right,0.07056755135899255
"(4, 7)",up,-0.07869639479283676
"(4, 7)",down,0.2465828140097755
"(4, 7)",left,-0.731727957317949
"(4, 7)",right,-0.13251693214494614
"(4, 8)",up,-0.1720675408595108
"(4, 8)",down,-0.32837669198115604
"(4, 8)",left,0.02562402206656195
"(4, 8)",right,-0.17851251072708546
"(4, 9)",up,-0.2030454653428963
"(4, 9)",down,-0.1988434238441246
"(4, 9)",left,-0.19339915862920584
"(5, 0)",up,-0.5099876471332465
"(5, 0)",down,-0.5100610290195611
"(5, 0)",right,-0.5099652666764698
"(5, 1)",up,-0.5050318383451504
"(5, 1)",down,-0.5043994660104383
"(5, 1)",left,-0.5041802727721841
"(5, 1)",right,-0.5043943773881381
"(5, 2)",up,-0.499290731641474
"(5, 2)",down,-0.4993885811708781
"(5, 2)",left,-0.4994594615412359
"(5, 2)",right,-0.49919148771181837
"(5, 3)",up,-0.49843157596592
"(5, 3)",down,-0.49862002913334275
"(5, 3)",left,-0.49855095107847225
"(5, 5)",up,0.0
"(5, 5)",down,0.0
"(5, 5)",right,0.0
"(5, 6)",up,-0.12518071425138022
"(5, 6)",down,0.10441824006640428
"(5, 6)",left,0.8071468827285808
"(5, 6)",right,0.039455953994679716
"(5, 7)",up,0.025640719199936463
"(5, 7)",down,0.38509911602640856
"(5, 7)",left,-0.3586581923239242
"(5, 7)",right,-0.687070540985473
"(5, 8)",up,-0.033101110826374736
"(5, 8)",down,-0.09446070961369657
"(5, 8)",left,0.12283931945966696
"(5, 8)",right,-0.044404681580566124
"(5, 9)",up,-0.1810028858141288
"(5, 9)",down,-0.18108806779314648
"(5, 9)",left,-0.25443836856905766
"(6, 0)",up,-0.48762178338458434
"(6, 0)",down,-0.4873467222431949
"(6, 0)",right,-0.487935844892931
"(6, 1)",up,-0.483019585452954
"(6, 1)",down,-0.4827145868338125
"(6, 1)",left,-0.48318672040129185
"(6, 1)",right,-0.48267218687618996
"(6, 2)",up,-0.4785596454972111
"(6, 2)",down,-0.4780537168170823
"(6, 2)",left,-0.4780944681320003
"(6, 2)",right,-0.4781938765167851
"(6, 3)",up,-0.4888290069829624
"(6, 3)",down,-0.7216373768892388
"(6, 3)",left,-0.4884524837451019
"(6, 5)",up,0.8999999997588851
"(6, 5)",down,-0.5545732816741055
"(6, 5)",right,0.41120095695727243
"(6, 6)",up,-0.4099602046293393
"(6, 6)",down,-0.6124305505356686
"(6, 6)",left,0.7099999970558785
"(6, 6)",right,0.25193255341039067
